HOUSEID,localminute,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,subpanel1,subpanel2,unknown1,unknown2,unknown3,unknown4,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
3.5,41487,1.216891667,0.480891667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04485,0.070725,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.007475,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.008625,0,#DIV/0!,0.191283333,#DIV/0!,#DIV/0!,#DIV/0!,-0.0046,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0244375,0.00345,0.007475,0.001725,0.0667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1702,#DIV/0!,0.00345,0.08855,0.0299,#DIV/0!,0.0037375,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.163875,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.458275,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.00069,1.217275,0.482808333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04485,0.070725,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.007475,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.008625,0,#DIV/0!,0.191283333,#DIV/0!,#DIV/0!,#DIV/0!,-0.0046,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0244375,0.00345,0.007475,0.001725,0.0644,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.170775,#DIV/0!,0.00345,0.08395,0.0299,#DIV/0!,0.0037375,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1635875,#DIV/0!,#DIV/0!,#DIV/0!,0.0276,0.4577,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.00139,1.216316667,0.481658333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04462,0.070725,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.007475,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.009008333,0,#DIV/0!,0.191283333,#DIV/0!,#DIV/0!,#DIV/0!,-0.0046,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0244375,0.00345,0.007475,0.001725,0.06325,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1710625,#DIV/0!,0.00345,0.0874,0.0299,#DIV/0!,0.0037375,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1633,#DIV/0!,#DIV/0!,#DIV/0!,0.0276,0.45655,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.00208,1.213825,0.48185,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04485,0.069575,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.0077625,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.0092,0,#DIV/0!,0.191091667,#DIV/0!,#DIV/0!,#DIV/0!,-0.0046,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0244375,0.00345,0.007475,0.001725,0.06325,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.170775,#DIV/0!,0.00345,0.0851,0.0299,#DIV/0!,0.0037375,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1630125,#DIV/0!,#DIV/0!,#DIV/0!,0.0276,0.45655,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.00278,1.212291667,0.481275,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04462,0.069575,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.0077625,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.009008333,0,#DIV/0!,0.191283333,#DIV/0!,#DIV/0!,#DIV/0!,-0.0046,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.02415,0.00345,0.007475,0.001725,0.06325,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.170775,#DIV/0!,0.00345,0.08395,0.0299,#DIV/0!,0.0037375,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1630125,#DIV/0!,#DIV/0!,#DIV/0!,0.0276,0.455975,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.00347,1.7043,0.851191667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04439,0.0692875,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.007475,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.008433333,0,#DIV/0!,0.277341667,#DIV/0!,#DIV/0!,#DIV/0!,-0.004408333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.02415,0.00345,0.007475,0.001725,0.0644,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1702,#DIV/0!,0.00345,0.0851,0.0299,#DIV/0!,0.0037375,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.162725,#DIV/0!,#DIV/0!,#DIV/0!,0.0276,0.454825,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.00417,1.402425,0.552191667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04439,0.069,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.0071875,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.006325,0,#DIV/0!,0.289416667,#DIV/0!,#DIV/0!,#DIV/0!,-0.005175,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.02415,0.00345,0.007475,0.001725,0.06325,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1702,#DIV/0!,0.00345,0.0851,0.0299,#DIV/0!,0.002875,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1256375,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.3956,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.00486,1.891175,0.993216667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04439,0.0692875,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.0071875,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.006133333,0,#DIV/0!,0.383525,#DIV/0!,#DIV/0!,#DIV/0!,-0.005558333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0244375,0.00345,0.007475,0.001725,0.06325,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1702,#DIV/0!,0.00345,0.0851,0.0299,#DIV/0!,0.00345,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1204625,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.789475,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.00556,1.908425,1.085025,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04439,0.069575,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.0071875,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.005366667,0,#DIV/0!,0.302833333,#DIV/0!,#DIV/0!,#DIV/0!,-0.005941667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0244375,0.00345,0.007475,0.001725,0.06325,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1704875,#DIV/0!,0.00345,0.08395,0.0299,#DIV/0!,0.0023,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.12075,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.7751,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
3.5,41487.00625,2.341016667,1.412966667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.04439,0.069,#DIV/0!,#DIV/0!,#DIV/0!,0.0023,0.0071875,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.005366667,0,#DIV/0!,0.397516667,#DIV/0!,#DIV/0!,#DIV/0!,-0.005941667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0244375,0.00345,0.007475,0.001725,0.0621,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1704875,#DIV/0!,0.00345,0.08395,0.02875,#DIV/0!,0.0023,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.10925,#DIV/0!,#DIV/0!,#DIV/0!,0.02875,0.752675,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
